timestamp,fx,fy,fz,tx,ty,tz
35.9841073,0.1249202,-0.0723281,-0.9007569,-0.0037898,-0.0083870,-0.0015186
35.9851073,0.1027248,-0.0894834,-0.7268402,-0.0027114,-0.0086175,-0.0018411
35.9861073,0.0763014,-0.0631780,-0.8757377,-0.0023757,-0.0086883,-0.0018168
35.9871073,0.1120189,-0.0831228,-0.8791467,-0.0028600,-0.0090047,-0.0015059
35.9881073,0.0734426,-0.1037779,-0.9430487,-0.0022190,-0.0081977,-0.0014456
35.9891073,0.1111647,-0.0641430,-0.9289186,-0.0025517,-0.0087232,-0.0013676
35.9901073,0.0753040,-0.0980449,-0.9955593,-0.0027142,-0.0073773,-0.0020923
35.9911073,0.0376224,-0.1140013,-1.0840699,-0.0040377,-0.0069976,-0.0014243
35.9921073,0.1133401,-0.0806680,-1.0176308,-0.0033999,-0.0072635,-0.0014794
35.9931073,0.0456571,-0.1328690,-1.0685457,-0.0042049,-0.0061211,-0.0018868
35.9941073,0.0756745,-0.1061800,-1.0885108,-0.0048130,-0.0070573,-0.0015866
35.9951073,0.0481441,-0.0951431,-1.0191972,-0.0043918,-0.0058649,-0.0020296
35.9961073,0.1026723,-0.1331328,-1.0239768,-0.0053596,-0.0069038,-0.0021109
35.9971073,0.0477711,-0.1153145,-1.1380210,-0.0045867,-0.0056912,-0.0017584
35.9981073,0.0715082,-0.1757907,-1.1628991,-0.0065918,-0.0060125,-0.0017709
35.9991073,0.0686429,-0.1446197,-1.1928676,-0.0056745,-0.0061697,-0.0017804
36.0001073,0.0895041,-0.1567463,-1.1465975,-0.0066042,-0.0060718,-0.0020797
36.0011073,0.0983421,-0.1502651,-1.1128570,-0.0065320,-0.0065210,-0.0019117
36.0021073,0.0590196,-0.1487270,-1.1491232,-0.0073801,-0.0055476,-0.0017717
36.0031073,0.0764635,-0.1605072,-1.2688640,-0.0076830,-0.0052445,-0.0018929
36.0041073,0.0568894,-0.1694280,-1.3336054,-0.0072770,-0.0051669,-0.0019916
36.0051073,0.0778893,-0.1805904,-1.2708047,-0.0081808,-0.0052622,-0.0018159
36.0061073,0.0604434,-0.1920990,-1.3042028,-0.0082993,-0.0047361,-0.0021398
36.0580752,0.0558602,-0.2049310,-1.3743774,-0.0092537,-0.0053762,-0.0019335
36.0590752,0.0977800,-0.1917614,-1.3922091,-0.0089797,-0.0052695,-0.0019400
36.0600752,0.0313067,-0.2213749,-1.4599891,-0.0097524,-0.0048079,-0.0017300
36.0610752,0.0753461,-0.2251811,-1.2928705,-0.0099019,-0.0056294,-0.0022965
36.0620752,0.0760982,-0.1776171,-1.3602281,-0.0097031,-0.0051842,-0.0021674
36.0630752,0.0794976,-0.2191244,-1.4153110,-0.0109011,-0.0049488,-0.0022668
36.0640752,0.0449894,-0.2247368,-1.3453663,-0.0107515,-0.0056720,-0.0020843
36.0650752,0.0618203,-0.2349720,-1.4646195,-0.0108602,-0.0056483,-0.0017357
36.0660752,0.0894324,-0.2093336,-1.4316961,-0.0109772,-0.0062586,-0.0021179
36.0670752,0.0888032,-0.2607898,-1.4844722,-0.0114103,-0.0056983,-0.0018212
36.0680752,0.1151038,-0.2333485,-1.4161348,-0.0111630,-0.0066622,-0.0021894
36.0690752,0.0824538,-0.2319743,-1.4833427,-0.0115056,-0.0067721,-0.0019803
36.0700752,0.1188336,-0.2715402,-1.5044800,-0.0123258,-0.0071890,-0.0018319
36.0710752,0.1134636,-0.2584298,-1.4223141,-0.0128737,-0.0069548,-0.0020406
36.0720752,0.1288924,-0.2757720,-1.5904618,-0.0127109,-0.0074824,-0.0015513
36.0730752,0.1633930,-0.2655406,-1.5232314,-0.0126133,-0.0079509,-0.0021536
36.0740752,0.1227452,-0.2711950,-1.5579334,-0.0131752,-0.0075235,-0.0018549
36.0750752,0.1326152,-0.2629099,-1.5077394,-0.0132410,-0.0084540,-0.0014473
36.0760752,0.1339393,-0.2730147,-1.6101649,-0.0136919,-0.0084809,-0.0015632
36.0770752,0.1158841,-0.3133697,-1.4914645,-0.0138400,-0.0082013,-0.0022995
36.0780752,0.1254852,-0.2782130,-1.5089051,-0.0137089,-0.0083938,-0.0016829
36.0790752,0.1330879,-0.3034334,-1.4918939,-0.0137538,-0.0083513,-0.0022221
36.0800752,0.1460654,-0.2748925,-1.5785978,-0.0143560,-0.0095297,-0.0014767
36.0810752,0.1171830,-0.2974596,-1.6421755,-0.0138980,-0.0096455,-0.0018081
36.0820752,0.1530958,-0.3180166,-1.4934422,-0.0143577,-0.0099360,-0.0021463
36.0830752,0.1369626,-0.2771920,-1.5933774,-0.0142167,-0.0100997,-0.0018722
36.0840752,0.1554783,-0.2981963,-1.5622519,-0.0147157,-0.0100701,-0.0020179
36.0850752,0.1664178,-0.2932865,-1.5812994,-0.0151781,-0.0102710,-0.0018709
36.0860752,0.1455440,-0.3002858,-1.6108822,-0.0144012,-0.0105504,-0.0017210
36.0870752,0.1653142,-0.3003977,-1.4607547,-0.0148758,-0.0109792,-0.0026078
36.0880752,0.1574813,-0.3040587,-1.5621732,-0.0150959,-0.0112111,-0.0023320
36.0890752,0.2003061,-0.2899307,-1.5803375,-0.0149792,-0.0113959,-0.0023395
36.0900752,0.1513703,-0.3075461,-1.5971671,-0.0156337,-0.0116397,-0.0022684
36.0910752,0.1836381,-0.2852047,-1.6291137,-0.0149432,-0.0123848,-0.0021227
36.0920752,0.1926571,-0.2591936,-1.5440495,-0.0147037,-0.0128267,-0.0022501
36.0930752,0.1659607,-0.3010522,-1.6784222,-0.0149023,-0.0130843,-0.0015916
36.0940752,0.1928073,-0.2564008,-1.6450674,-0.0146897,-0.0134114,-0.0015829
36.0950752,0.1644093,-0.2919450,-1.6427307,-0.0144986,-0.0128660,-0.0022033
36.0960752,0.1912937,-0.2946261,-1.5593923,-0.0146551,-0.0137434,-0.0023306
36.0970752,0.2067228,-0.3136782,-1.6102468,-0.0144738,-0.0138829,-0.0017992
36.0980752,0.1822270,-0.2775623,-1.5913699,-0.0143499,-0.0141387,-0.0021077
36.0990752,0.1928631,-0.2401456,-1.6250082,-0.0143782,-0.0149935,-0.0019670
36.1000752,0.1792975,-0.3044624,-1.5381147,-0.0138826,-0.0146525,-0.0023189
36.1010752,0.1984006,-0.2444314,-1.5724070,-0.0137227,-0.0150248,-0.0018669
36.1020752,0.1663689,-0.2576754,-1.6172805,-0.0125026,-0.0147343,-0.0016416
36.1030752,0.1928054,-0.2441380,-1.6187953,-0.0125577,-0.0146852,-0.0016437
