Value,Mode,Port,Timestamp Sent,Timestamp Received
29.0,1.0,4.0,55072.0,1761785527128.548
29.0,1.0,5.0,56139.0,1761785527128.8635
28.0,1.0,6.0,55992.0,1761785527129.2056
29.0,1.0,7.0,56140.0,1761785527129.5315
126.0,0.0,0.0,55465.0,1761785527129.8723
29.0,0.0,1.0,55310.0,1761785527130.357
29.0,0.0,2.0,55451.0,1761785527130.8245
29.0,0.0,3.0,55888.0,1761785527131.2595
29.0,0.0,4.0,55069.0,1761785527131.7097
29.0,0.0,5.0,56137.0,1761785527132.2048
29.0,0.0,6.0,55990.0,1761785527132.6177
28.0,0.0,7.0,56142.0,1761785527133.0107
126.0,1.0,0.0,55468.0,1761785527133.407
29.0,1.0,1.0,55312.0,1761785527133.8071
29.0,1.0,2.0,55460.0,1761785527134.189
29.0,1.0,3.0,55902.0,1761785527134.569
29.0,1.0,4.0,55088.0,1761785527134.9329
29.0,1.0,5.0,56153.0,1761785527135.318
28.0,1.0,6.0,56005.0,1761785527135.669
29.0,1.0,7.0,56145.0,1761785527136.0051
126.0,0.0,0.0,55471.0,1761785527136.3418
29.0,0.0,1.0,55327.0,1761785527136.668
29.0,0.0,2.0,55476.0,1761785527137.0034
29.0,0.0,3.0,55912.0,1761785527137.379
29.0,0.0,4.0,55098.0,1761785527137.813
29.0,0.0,5.0,56162.0,1761785527138.2002
28.0,0.0,6.0,56025.0,1761785527138.5483
29.0,0.0,7.0,56156.0,1761785527138.9106
126.0,1.0,0.0,55471.0,1761785527139.2693
29.0,1.0,1.0,55317.0,1761785527139.643
29.0,1.0,2.0,55469.0,1761785527139.9734
29.0,1.0,3.0,55904.0,1761785527140.3538
29.0,1.0,4.0,55087.0,1761785527140.817
29.0,1.0,5.0,56160.0,1761785527141.223
28.0,1.0,6.0,56005.0,1761785527141.6145
29.0,1.0,7.0,56147.0,1761785527141.9905
126.0,0.0,0.0,55469.0,1761785527142.3599
29.0,0.0,1.0,55323.0,1761785527142.712
29.0,0.0,2.0,55475.0,1761785527143.0586
29.0,0.0,3.0,55905.0,1761785527143.483
29.0,0.0,4.0,55081.0,1761785527143.8516
29.0,0.0,5.0,56160.0,1761785527144.2053
28.0,0.0,6.0,56016.0,1761785527144.563
29.0,0.0,7.0,56159.0,1761785527144.9055
126.0,1.0,0.0,55477.0,1761785527145.3
29.0,1.0,1.0,55319.0,1761785527145.793
